"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.49927225574071,0.499607608567301,0.0173811101147339,0.668820330737375
"below_18",0.219293578625929,0.22082963090834,0.0469745935234356,0.247755057047205
"above_65",0.195509061160198,0.195626906717589,0.00263931318005582,0.948206882368276
"black",0.0670231441585467,0.0646306674888523,-0.0212873081854164,0.600352696541825
"hispanic",0.0846363405887696,0.0859603305672998,0.0108954800101793,0.788579629124796
"bl_hisp",0.151659484747316,0.150590998056152,-0.00667338728304956,0.869538712524122
"driving_alone_to_work",0.802023568151941,0.805411947545831,0.0631754464759214,0.120161070522677
"smoking",0.172723672359207,0.173983387406276,0.0365376580404614,0.368591708444585
"flu_vac",0.421106523534269,0.419174236168455,-0.0199107356988204,0.624120745303542
"some_college",0.588766099085054,0.584107486354253,-0.0426516149267001,0.293946936258442
"social_association",12.1817604464889,12.1162904773113,-0.0114700801858778,0.777715871100275
"traffic",123.563128469122,104.129510142656,-0.0916700468987898,0.024207847072864
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.3215524360033,14.4854665565648,0.0303843650687822,0.454620963178126
"population.density",167.925932037447,134.925318503288,-0.0655835905079686,0.106684771578142
"population",88521.9826589595,83211.9504541701,-0.0256674636688022,0.527599019519725
"cases_1",20.2831508323485,17.917683333237,-0.0578160187387646,0.154918063494913
"cases_2",30.4419515567209,22.8242399455004,-0.0670999868982939,0.0988335631714473
"cases_3",29.330090647161,24.6392518325557,-0.0689242346211834,0.0900079978078822
"cases_4",29.2552338677176,25.1661866698431,-0.055637476829439,0.171055794279785
"cases_5",25.9384525785434,25.7554287123146,-0.00255581489524014,0.949843230490105
"cases_6",30.0437320201346,27.7883215049802,-0.0351279407295615,0.387348862882802
"cases_7",28.1797205046152,28.3899459076457,0.00260462957129225,0.94888656427914
"cases_8",29.4136212244913,29.1147980477234,-0.00384583181124511,0.924590124363309
"cases_9",28.8922908859116,30.8188456069355,0.0288778979373697,0.477289691717937
"cases_10",36.3913441779628,38.6015887886581,0.0300705072007905,0.459293071220672
"cases_11",47.5368295949752,49.9057633010165,0.0314423840298455,0.439070337322222
"deaths_1",1.16502927591164,0.973233923431048,-0.0573922003952323,0.157963290054033
"deaths_2",1.21307225451693,1.06484405209992,-0.0410051790990946,0.312971294921826
"deaths_3",1.08510346296449,1.05722218122626,-0.0089587217906203,0.825489726669687
"deaths_4",1.34840001851115,0.997832754370768,-0.0892813750226392,0.0281489258263012
"deaths_5",1.05043237249216,0.928051543474814,-0.0396902975492809,0.328735091721476
"deaths_6",0.941843865464079,0.915884399833195,-0.00827697976785582,0.838579171110232
"deaths_7",0.959347744974401,0.934548502099092,-0.00782073693074843,0.847364313043108
"deaths_8",0.801708450003303,0.748672014100743,-0.0189412538923622,0.641100199431569
"deaths_9",0.644025497046243,0.684668720758052,0.0163920928924856,0.686633011803873
"deaths_10",0.65806822235673,0.598488309115607,-0.0287200897131992,0.479699649266947
"deaths_11",0.81445409854583,0.718949562696944,-0.0280655098493598,0.489766610690004
"cumulative_dose",-0.123058171726672,-0.0511903547423616,0.769153027657368,7.41244005695946e-70
"cumulative_dose_2",-0.123058171726672,-0.0511903547423616,0.769153027657368,7.41244005695946e-70
