"","results.Control.unstrat","results.Treatment.unstrat","results.std.diff.unstrat","results.p.unstrat"
"female",0.499242840272502,0.499637024035508,0.0204305724301955,0.615097262498806
"below_18",0.219302012514451,0.220821197019818,0.0464584735558004,0.252985863390843
"above_65",0.19593758040545,0.195198387472337,-0.0165557946472201,0.683672272322061
"black",0.0657920205458299,0.0658617911015691,0.000620755563294018,0.987810369214978
"hispanic",0.0854021226052849,0.0851945485507844,-0.0017081596059271,0.96646585654254
"bl_hisp",0.151194143151115,0.151056339652354,-0.000860666852983454,0.983099894865081
"driving_alone_to_work",0.800900177905037,0.806535337792734,0.105158839462353,0.00974933083783502
"smoking",0.171742869074319,0.174964190691164,0.0935200265798542,0.0214935877703726
"flu_vac",0.420900082576383,0.419380677126341,-0.0156560086234873,0.70000496676933
"some_college",0.589658491926507,0.5832150935128,-0.0590043614722537,0.146617632342354
"social_association",12.3418027083972,11.956248215403,-0.0675851013960993,0.0964217130822386
"traffic",125.944629990431,101.748008621347,-0.11420362446358,0.00501289771564496
"non_metro",0.61849710982659,0.61849710982659,0,1
"PCTPOVALL_2018",14.1734929810074,14.6335260115607,0.0853430225553189,0.0358565352845338
"population.density",166.221861506561,136.629389034174,-0.058804241930553,0.14799107749092
"population",87506.5458298926,84227.387283237,-0.015849883451979,0.696473721351245
"cases_1",20.2205190491222,17.9803151164633,-0.0547520050284352,0.17796384667296
"cases_2",30.7640297382122,22.5021617640091,-0.0727812119301046,0.0734370643756259
"cases_3",29.2354976389042,24.7338448408125,-0.066141347626099,0.103741300233086
"cases_4",28.2645441649405,26.1568763726202,-0.0286697559110092,0.480469714141935
"cases_5",25.0604918635987,26.6333894272593,0.0219658477881438,0.588789753580331
"cases_6",29.8864089426713,27.9456445824434,-0.0302261266744486,0.456973151323855
"cases_7",29.8802433123666,26.6894230998943,-0.039541001913316,0.330556994159234
"cases_8",29.8112938620322,28.7171254101825,-0.0140821889814592,0.728905265087927
"cases_9",29.426919479886,30.2842170129611,0.0128492999745602,0.751820082433316
"cases_10",36.1082996221329,38.884633344488,0.0377746519620987,0.352607464410532
"cases_11",47.4995913249893,49.9430015710025,0.0324311524462066,0.424818092924763
"deaths_1",1.16032396592403,0.977939233418662,-0.0545740452621324,0.179376960420901
"deaths_2",1.27926989861602,0.998646408000826,-0.0776726453095715,0.0561026537576602
"deaths_3",1.17384922878282,0.968476415407926,-0.0660250328899208,0.104349739077714
"deaths_4",1.29158460553262,1.0546481673493,-0.0603095709261745,0.137898138067667
"deaths_5",1.00753371725599,0.970950198710984,-0.0118625623842904,0.770320140205352
"deaths_6",0.921366225291495,0.93636204000578,0.00478127508309846,0.906324088276874
"deaths_7",1.00950090318827,0.884395343885218,-0.0394609129056702,0.331537036962762
"deaths_8",0.820873044715111,0.729507419388935,-0.0326328935084022,0.421943770429104
"deaths_9",0.659013141909166,0.669681075895128,0.00430242180198912,0.915668889877427
"deaths_10",0.620494179114781,0.636062352357556,0.00750381002175691,0.853478135872107
"deaths_11",0.862280073914121,0.671123587328654,-0.0561909878081797,0.166840860750239
"cumulative_dose",-0.126094636709331,-0.0481538897597026,0.84523924202963,7.85860628679783e-82
"cumulative_dose_2",-0.126094636709331,-0.0481538897597026,0.84523924202963,7.85860628679783e-82
