"","x"
"1",0.45012135618128
"2",0.448382298089934
"3",0.543408064746633
"4",0.473233810566135
"5",0.515600733114769
"6",0.554048208247625
"7",0.459421894602798
"8",0.489651685230594
"9",0.419051718651413
"10",0.573770672914503
"11",0.42633509131398
"12",0.573450296155586
"13",0.549729443986915
"14",0.461918537302798
"15",0.583025215575637
"16",0.589246323374332
"17",0.434272465531436
"18",0.513445292369838
"19",0.401357688250842
"20",0.57406170977082
"21",0.564227220912279
"22",0.439212833798366
"23",0.461455980788342
"24",0.560740118815781
"25",0.59372776278267
"26",0.573078706574795
"27",0.45386939392869
"28",0.554251858953279
"29",0.590318262128995
"30",0.419918604095296
"31",0.5
"32",0.515504285387839
"33",0.43738673535463
"34",0.460523373541439
"35",0.521096284164341
"36",0.560579842701326
"37",0.47447240472589
"38",0.410866650824474
"39",0.503845462360102
"40",0.422639835942074
"41",0.420223602132862
"42",0.561024348730573
"43",0.448986621459684
"44",0.494708658817266
"45",0.487342717931173
"46",0.546562691712068
"47",0.525988634642181
"48",0.5
"49",0.40450483728352
"50",0.579748059183413
"51",0.558324282873087
"52",0.588658002851763
"53",0.535431609771191
"54",0.530478302858638
"55",0.535027887908841
"56",0.402535034881048
"57",0.593020597786384
"58",0.539411645580882
"59",0.436440579253656
"60",0.450687742623311
"61",0.5
"62",0.483857213346437
"63",0.5
"64",0.5
"65",0.578364955994597
"66",0.437484224952634
"67",0.53278754772259
"68",0.513540671258106
"69",0.506507707509889
"70",0.5
"71",0.490116952991014
"72",0.471181661103477
"73",0.560054528106531
"74",0.587084627568413
"75",0.488146638014574
"76",0.403623385579532
"77",0.48813206670311
"78",0.556761372683305
"79",0.526583950294715
"80",0.505154392438308
"81",0.493474763543979
"82",0.49107012474501
"83",0.544624661430099
"84",0.490631709949295
"85",0.470119577141836
"86",0.543016340190151
"87",0.456902426817822
"88",0.405401606004257
"89",0.509824976825697
"90",0.521859164354145
"91",0.580005016211821
"92",0.504182093430258
"93",0.578491258967655
"94",0.560971742035908
"95",0.490479818291313
"96",0.530299652977344
"97",0.431563118558649
"98",0.578154222043884
"99",0.541698455872372
"100",0.586937998725506
"101",0.5
"102",0.541906708121452
"103",0.440324710301816
"104",0.536594878727152
"105",0.466284077241821
"106",0.505372278751394
"107",0.568950650350921
"108",0.523550644023613
"109",0.545040732130047
"110",0.457542537981211
"111",0.554595305643556
"112",0.58998993467537
"113",0.504894748275753
"114",0.565424314145622
"115",0.543521442149708
"116",0.486116036737339
"117",0.5
"118",0.525100107974383
"119",0.418732256545723
"120",0.530744484758001
"121",0.451628111563252
"122",0.56181831964481
"123",0.479646968614257
"124",0.512762178716742
"125",0.450292649842283
"126",0.564355682942289
"127",0.587582295881024
"128",0.507437398910408
"129",0.497467271513688
"130",0.59270616129174
"131",0.5061454722495
"132",0.444717907848411
"133",0.5
"134",0.439778470313104
"135",0.479116870224336
"136",0.500625756423622
"137",0.570514864592067
"138",0.580690101794893
"139",0.491188965747088
"140",0.513487554909931
"141",0.536368735627435
"142",0.583699559325557
"143",0.560994144695037
"144",0.561569587496668
"145",0.560940919853633
"146",0.553912252873053
"147",0.599723609221918
"148",0.523713566598987
"149",0.470542395865777
"150",0.538703983120328
"151",0.599527246260286
"152",0.545458006932589
"153",0.577396946874341
"154",0.505074517619167
"155",0.483593643886156
"156",0.599531930751679
"157",0.595274527479967
"158",0.413605837778635
"159",0.510928458142566
"160",0.553869864848294
"161",0.505104271349198
"162",0.438070652487379
"163",0.583058410475839
"164",0.555354812328311
"165",0.547112852510101
"166",0.431704192899628
"167",0.539731382394153
"168",0.493419389140335
"169",0.572991623046801
"170",0.487509944841686
"171",0.454372541722306
"172",0.596278586616354
"173",0.534525174719098
"174",0.574359728769148
"175",0.430146150560376
"176",0.556349342516103
"177",0.5
"178",0.599267891721764
"179",0.548586903986961
"180",0.53152288712559
"181",0.498387044188175
"182",0.466071818408308
"183",0.416775368768817
"184",0.5
"185",0.502148886156647
"186",0.571871406536192
"187",0.516089319032244
"188",0.512124391616203
"189",0.557570957833456
"190",0.409797648944363
"191",0.425574006375803
"192",0.552662502533921
"193",0.529798808367738
"194",0.536478545724147
"195",0.498476234408776
"196",0.459265070510479
"197",0.530757313240285
"198",0.435183747913993
"199",0.558517452106575
"200",0.485835952107585
"201",0.583781630733108
"202",0.520766478533092
"203",0.585101058654473
"204",0.453731621426884
"205",0.5
"206",0.560661559272524
"207",0.572157687449211
"208",0.545840026712756
"209",0.579975325528727
"210",0.541249943208697
"211",0.484875342161939
"212",0.436939560976844
"213",0.486149580210225
"214",0.473548319729546
"215",0.459858630884829
"216",0.526550832001374
"217",0.522234823433376
"218",0.459045656567529
"219",0.540563222983418
"220",0.559550626376026
"221",0.451155796745649
"222",0.504901425772014
"223",0.549677068341293
"224",0.527715085306003
"225",0.532411190147809
"226",0.444247653836289
"227",0.459660498894905
"228",0.585920587930703
"229",0.537315566660958
"230",0.541405944602147
"231",0.481743971765176
"232",0.588161478215842
"233",0.545974138943806
"234",0.474895067513232
"235",0.46962553162799
"236",0.479298242922328
"237",0.474139972894847
"238",0.518868014415572
"239",0.515690575518996
"240",0.505386207585587
"241",0.544264060986517
"242",0.472459258950572
"243",0.5
"244",0.525870295606173
"245",0.502092316934508
"246",0.483726260756205
"247",0.412412200975939
"248",0.404976928177565
"249",0.468195886683811
"250",0.566682750990806
"251",0.401853100486859
"252",0.534101395647798
"253",0.513762958524583
"254",0.58744099762609
"255",0.444220534573144
"256",0.468668374789055
"257",0.453438607930961
"258",0.483182138089682
"259",0.558191396009013
"260",0.593891546332069
"261",0.49122509389081
"262",0.433702963879235
"263",0.475447296746636
"264",0.428403451252424
"265",0.453542857134874
"266",0.523927294890578
"267",0.43347926200481
"268",0.538155902040315
"269",0.512807097000657
"270",0.473210235247792
"271",0.53388166121956
"272",0.528291720235974
"273",0.404997334109317
"274",0.416134314506052
"275",0.562197309437228
"276",0.573309291373705
"277",0.435463645578775
"278",0.414375485842271
"279",0.428132403904432
"280",0.472216602766781
"281",0.402225080903067
"282",0.595305160122034
"283",0.597680550645075
"284",0.504510321551115
"285",0.531291521684699
"286",0.403805341959519
"287",0.507570002137779
"288",0.555983334089332
"289",0.588782495439618
"290",0.550861118595974
"291",0.498194074957241
"292",0.416291681032205
"293",0.551338743490126
"294",0.59648535074483
"295",0.469816092714481
"296",0.524855148413033
"297",0.414992997943584
"298",0.586756100186465
"299",0.460257601393828
"300",0.583635966607419
"301",0.508811116861974
"302",0.573051748977861
"303",0.418581430084843
"304",0.543537425814598
"305",0.543236866560095
"306",0.476470796812295
"307",0.4948045583728
"308",0.51671235504504
"309",0.54610289983325
